E1,E2,F,error_pos,error_neg
3,10,0.000614286,0.000128571,0.000128571
0.800000012,0.800000012,0.015876001,0.00134679,0.00134679
1,1,0.0128975,0.00103121,0.00103121
1.25,1.25,0.0106784,0.000772664,0.000772664
1.600000024,1.600000024,0.0075279,0.00045373,0.00045373
2.099999905,2.099999905,0.0051204,0.000313904,0.000313904
2.650000095,2.650000095,0.0034224,0.000202673,0.000202673
3.349999905,3.349999905,0.0021775,0.000103809,0.000103809
4.300000191,4.300000191,0.001298,0.0000683322,0.0000683322
5.599999905,5.599999905,0.0008184,0.000041496,0.000041496
7.5,7.5,0.0004453,0.0000250689,0.0000250689
10.60000038,10.60000038,0.00017437,0.0000103696,0.0000103696
16.20000076,16.20000076,0.00005618,0.00000474046,0.00000474046
35,35,0.00000611,0.00000107424,0.00000107424
