E,F,error_pos,error_neg
4.47,0.00399,0.00949,0.00949
5.62,0.00233,0.000547,0.000547
7.08,0.00186,0.000383,0.000383
8.91,0.000987,0.000219,0.000219
11.2,0.000862,0.000166,0.000166
14.2,0.000403,0.0000955,0.0000955
17.8,0.000295,0.0000678,0.0000678
22.4,0.00018,0.0000446,0.0000446
28.2,0.0000905,0.0000181,0.0000181
35.5,0.0000515,0.00000988,0.00000988
44.7,0.0000266,0.0000063,0.0000063
56.2,0.0000184,0.0000046,0.0000046
70.8,0.0000107,0.00000308,0.00000308
89.1,0.00000564,0.000002,0.000002
126,0.00000222,0.000000739,0.000000739
178,0.000000697,0.000000492,0.000000492
251,0.000000351,0.000000203,0.000000203
447,0.0000000916,0.0000000648,0.0000000648
