E,F,error_pos,error_neg
10,0.000914,0.000118206,0.000118174
14.0312,0.000509,0.000112535,0.000117959
17.7482,0.000266,0.0000505,0.0000533
22.3607,0.000163,0.000034373,0.0000344
27.3861,0.0000983,0.0000157,0.0000157
34.641,0.0000524,0.00000887,0.0000887
44.7214,0.0000299,0.00000695,0.00000663
54.7723,0.000017,0.00000358,0.00000115
69.282,0.0000111,0.00000293,0.000000861
100,0.00000434,0.00000105,0.000000221
136.931,0.00000148,0.000000629,0.000000861
220.794,0.000000547,0.000000214,0.000000221
459.619,0.0000000517,0.0000000329,0.0000000704
