E,F,err_pos,err_neg
5.000000000000000000e+00,1.940000000000000101e-03,3.760169999999999745e-04,3.564109999999999999e-04
7.000000000000000000e+00,1.440000000000000091e-03,2.924979999999999768e-04,3.221179999999999812e-04
1.000000000000000000e+01,5.270000000000000162e-04,1.165619999999999997e-04,9.079999999999999801e-05
1.581140000000000079e+01,1.800000000000000113e-04,4.169999999999999716e-05,3.979999999999999841e-05
2.236070000000000135e+01,6.150000000000000410e-05,3.860000000000000312e-05,2.430000000000000112e-05
2.738609999999999900e+01,2.830000000000000010e-05,6.880000000000000197e-06,6.880000000000000197e-06
3.464099999999999824e+01,1.580000000000000119e-05,7.340000000000000028e-06,4.809999999999999687e-06
5.656850000000000023e+01,5.419999999999999776e-06,1.370000000000000012e-06,1.199999999999999946e-06
1.095450000000000017e+02,9.460000000000000271e-07,3.929999999999999854e-07,3.339999999999999997e-07
2.449490000000000123e+02,7.280000000000000338e-08,6.439999999999999433e-08,6.420000000000000578e-08
