E,F,err_pos,err_neg
8.000000000000000444e-01,2.889999999999999861e-02,2.036780000000000188e-03,2.036780000000000188e-03
1.000000000000000000e+00,2.479999999999999913e-02,1.571530000000000019e-03,1.571530000000000019e-03
1.250000000000000000e+00,2.110000000000000070e-02,1.109450000000000106e-03,1.109450000000000106e-03
1.600000000000000089e+00,1.439999999999999961e-02,5.949990000000000270e-04,5.949990000000000270e-04
2.100000000000000089e+00,9.860000000000000708e-03,4.132240000000000132e-04,4.132240000000000132e-04
2.649999999999999911e+00,6.700000000000000226e-03,2.608929999999999973e-04,2.608929999999999973e-04
3.350000000000000089e+00,3.789999999999999966e-03,1.414180000000000070e-04,1.414180000000000070e-04
4.299999999999999822e+00,2.419999999999999842e-03,9.398400000000000005e-05,9.398400000000000005e-05
5.599999999999999645e+00,1.440000000000000091e-03,5.709999999999999879e-05,5.709999999999999879e-05
7.500000000000000000e+00,7.299999999999999632e-04,3.539999999999999988e-05,3.539999999999999988e-05
1.059999999999999964e+01,3.060000000000000111e-04,1.430000000000000031e-05,1.430000000000000031e-05
1.619999999999999929e+01,1.029999999999999964e-04,7.580000000000000271e-06,7.580000000000000271e-06
3.500000000000000000e+01,1.169999999999999979e-05,1.909999999999999924e-06,1.909999999999999924e-06
