E,F,err_pos,err_neg
2.750000060000000190e-01,2.109999895000000070e+00,1.190000057000000000e+00,1.190000057000000000e+00
3.359999949999999957e-01,5.300000190999999639e+00,1.669999956999999924e+00,1.669999956999999924e+00
4.119999999999999774e-01,4.030000209999999861e+00,1.419999956999999924e+00,1.419999956999999924e+00
5.000000000000000000e-01,7.159999846999999917e+00,1.980000019000000000e+00,1.980000019000000000e+00
6.150000100000000414e-01,6.110000133999999861e+00,1.809999943000000000e+00,1.809999943000000000e+00
7.549999950000000348e-01,4.320000172000000305e+00,1.200000047999999930e+00,1.200000047999999930e+00
9.250000120000000381e-01,5.139999866000000139e+00,1.240000009999999930e+00,1.240000009999999930e+00
1.129999994999999924e+00,3.150000095000000222e+00,8.100000019999999967e-01,8.100000019999999967e-01
1.379999994999999924e+00,2.720000028999999930e+00,7.500000000000000000e-01,7.500000000000000000e-01
1.700000047999999930e+00,1.769999981000000000e+00,4.300000070000000174e-01,4.300000070000000174e-01
2.079999924000000000e+00,1.110000013999999924e+00,4.399999980000000033e-01,4.399999980000000033e-01
2.539999962000000000e+00,8.399999740000000381e-01,3.799999949999999793e-01,3.799999949999999793e-01
