E,F,err_pos,err_neg
1.110044956000000083e+00,2.045000076000000000e+00,9.799999700000000535e-02,9.799999700000000535e-02
1.334615945999999997e+00,1.552000046000000077e+00,6.600000000000000311e-02,6.600000000000000311e-02
1.584676981000000096e+00,1.205000043000000076e+00,4.300000100000000297e-02,4.300000100000000297e-02
1.854724049999999957e+00,9.438999890000000503e-01,2.999999899999999942e-02,2.999999899999999942e-02
2.149419068999999904e+00,6.701999899999999677e-01,2.100000000000000130e-02,2.100000000000000130e-02
2.474167109000000142e+00,5.173000100000000323e-01,1.499999999999999944e-02,1.499999999999999944e-02
2.819574117999999796e+00,3.770000039999999997e-01,1.099999999999999936e-02,1.099999999999999936e-02
3.174901961999999855e+00,2.840000089999999977e-01,9.100000000000000450e-03,9.100000000000000450e-03
3.540169001000000204e+00,2.304999980000000115e-01,7.499999999999999722e-03,7.499999999999999722e-03
3.920152902999999966e+00,1.773000060000000100e-01,6.000000000000000125e-03,6.000000000000000125e-03
4.324904918999999737e+00,1.358000040000000019e-01,4.700000000000000185e-03,4.700000000000000185e-03
4.764451980999999670e+00,1.053000020000000037e-01,3.799999999999999992e-03,3.799999999999999992e-03
5.239274979000000165e+00,8.945999999999999786e-02,3.099999999999999891e-03,3.099999999999999891e-03
5.739337920999999731e+00,6.164000199999999929e-02,2.399999999999999790e-03,2.399999999999999790e-03
6.264183998000000031e+00,4.879000000000000004e-02,1.899999999999999996e-03,1.899999999999999996e-03
6.814249991999999700e+00,3.740000000000000269e-02,1.600000000000000077e-03,1.600000000000000077e-03
7.389113903000000150e+00,3.180000200000000082e-02,1.399999999999999986e-03,1.399999999999999986e-03
7.989180088000000346e+00,2.348000000000000087e-02,1.100000000000000066e-03,1.100000000000000066e-03
8.618874549999999246e+00,1.820000100000000037e-02,9.300000000000000541e-04,9.300000000000000541e-04
9.278955460000000599e+00,1.353999999999999995e-02,7.699999999999999597e-04,7.699999999999999597e-04
9.963854789999999184e+00,1.204999999999999995e-02,6.899999999999999667e-04,6.899999999999999667e-04
1.067393017000000022e+01,1.030000000000000013e-02,6.099999999999999737e-04,6.099999999999999737e-04
1.141368008000000067e+01,9.133000000000000493e-03,5.400000000000000069e-04,5.400000000000000069e-04
1.218859959000000082e+01,6.901000000000000016e-03,4.600000000000000139e-04,4.600000000000000139e-04
1.299353027000000083e+01,5.461999999999999841e-03,3.899999999999999929e-04,3.899999999999999929e-04
1.382361983999999921e+01,4.525999999999999641e-03,3.499999999999999964e-04,3.499999999999999964e-04
1.468826007999999916e+01,3.482999999999999985e-03,2.900000000000000017e-04,2.900000000000000017e-04
1.558835982999999992e+01,3.432999999999999854e-03,2.799999999999999755e-04,2.799999999999999755e-04
1.651816940000000145e+01,2.772000000000000158e-03,2.400000000000000061e-04,2.400000000000000061e-04
1.748312950000000043e+01,2.576999999999999864e-03,2.300000000000000070e-04,2.300000000000000070e-04
1.847809982000000062e+01,2.070999999999999924e-03,2.000000000000000096e-04,2.000000000000000096e-04
1.950794029000000052e+01,1.709999999999999932e-03,1.700000000000000122e-04,1.700000000000000122e-04
2.057777976999999936e+01,1.464999999999999939e-03,1.600000000000000131e-04,1.600000000000000131e-04
2.168276978000000099e+01,1.484999999999999992e-03,1.499999999999999869e-04,1.499999999999999869e-04
2.282751083000000136e+01,1.069999999999999988e-03,1.200000000000000030e-04,1.200000000000000030e-04
2.401251029999999886e+01,7.808999999999999535e-04,1.000000000000000048e-04,1.000000000000000048e-04
2.525189018000000019e+01,7.768000000000000165e-04,9.699999999999999963e-05,9.699999999999999963e-05
2.656642914000000033e+01,6.170999999999999836e-04,8.200000000000000095e-05,8.200000000000000095e-05
2.795586013999999864e+01,5.402000000000000118e-04,7.399999999999999623e-05,7.399999999999999623e-05
2.943506049999999874e+01,5.395000000000000490e-04,6.999999999999999387e-05,6.999999999999999387e-05
3.100455093000000062e+01,5.442999999999999488e-04,6.799999999999999946e-05,6.799999999999999946e-05
3.266381073000000157e+01,4.076999999999999895e-04,5.700000000000000314e-05,5.700000000000000314e-05
3.443283843999999760e+01,4.001000000000000216e-04,5.399999999999999798e-05,5.399999999999999798e-05
3.632191849000000161e+01,3.564999999999999918e-04,5.000000000000000240e-05,5.000000000000000240e-05
3.833589934999999826e+01,2.933999999999999759e-04,4.399999999999999886e-05,4.399999999999999886e-05
4.048479079999999897e+01,1.700999999999999875e-04,3.199999999999999855e-05,3.199999999999999855e-05
4.278831862999999913e+01,1.926999999999999948e-04,3.300000000000000253e-05,3.300000000000000253e-05
4.526676178000000306e+01,1.345999999999999920e-04,2.699999999999999899e-05,2.699999999999999899e-05
4.793014145000000070e+01,1.065000000000000002e-04,2.300000000000000002e-05,2.300000000000000002e-05
