E,F,err_pos,err_neg
5.400000209999999967e-01,3.900000095000000222e+00,1.700000047999999930e+00,1.700000047999999930e+00
6.800000069999999619e-01,3.200000048000000152e+00,1.100000024000000076e+00,1.100000024000000076e+00
8.299999829999999967e-01,2.700000048000000152e+00,8.000000120000000381e-01,8.000000120000000381e-01
9.700000290000000414e-01,3.400000095000000222e+00,6.999999879999999619e-01,6.999999879999999619e-01
1.120000005000000076e+00,2.500000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01
1.259999990000000070e+00,2.099999904999999778e+00,5.000000000000000000e-01,5.000000000000000000e-01
1.409999967000000076e+00,1.100000024000000076e+00,3.000000119999999826e-01,3.000000119999999826e-01
1.659999967000000076e+00,1.399999975999999924e+00,2.000000030000000095e-01,2.000000030000000095e-01
2.019999980999999778e+00,6.800000069999999619e-01,1.500000059999999913e-01,1.500000059999999913e-01
2.390000104999999930e+00,7.599999899999999586e-01,1.500000059999999913e-01,1.500000059999999913e-01
2.750000000000000000e+00,3.899999860000000207e-01,1.299999950000000071e-01,1.299999950000000071e-01
3.109999895000000070e+00,2.099999929999999959e-01,1.000000010000000050e-01,1.000000010000000050e-01
3.480000019000000222e+00,2.000000030000000095e-01,9.000000399999999456e-02,9.000000399999999456e-02
4.010000229000000083e+00,2.099999929999999959e-01,5.999999899999999831e-02,5.999999899999999831e-02
4.739999770999999917e+00,1.199999969999999971e-01,5.000000100000000225e-02,5.000000100000000225e-02
5.469999790000000139e+00,4.599999999999999922e-02,3.699999999999999817e-02,3.699999999999999817e-02
6.510000229000000083e+00,2.500000000000000139e-02,2.100000000000000130e-02,2.100000000000000130e-02
8.579999923999999112e+00,2.700000099999999917e-02,1.099999999999999936e-02,1.099999999999999936e-02
1.210000038000000089e+01,3.700000000000000164e-03,5.100000000000000366e-03,5.100000000000000366e-03
