E,F,err_pos,err_neg
2.244000052999999895e+01,1.600000000000000077e-03,5.000000000000000240e-05,5.000000000000000240e-05
2.826000022999999928e+01,8.019999999999999785e-04,2.900000000000000017e-05,2.900000000000000017e-05
3.556000137000000194e+01,4.339999999999999782e-04,2.000000000000000164e-05,2.000000000000000164e-05
4.475000000000000000e+01,2.180000000000000134e-04,1.699999999999999987e-05,1.699999999999999987e-05
5.631999969000000306e+01,1.069999999999999988e-04,1.399999999999999979e-05,1.399999999999999979e-05
7.091999816999999950e+01,5.520000000000000004e-05,1.399999999999999979e-05,1.399999999999999979e-05
8.920999908000000289e+01,3.899999999999999929e-05,1.200000000000000030e-05,1.200000000000000030e-05
1.121999969000000021e+02,1.830000000000000097e-05,5.699999999999999636e-06,5.699999999999999636e-06
1.415000000000000000e+02,1.279999999999999942e-05,4.500000000000000114e-06,4.500000000000000114e-06
1.783000030999999979e+02,9.109999999999999175e-06,4.799999999999999783e-06,4.799999999999999783e-06
