E,F,err_pos,err_neg
1.200000047999999930e+00,4.740000070000000010e-01,5.700000000000000205e-02,5.700000000000000205e-02
1.710000038000000000e+00,8.199999930000000381e-01,8.100000000000000255e-02,8.100000000000000255e-02
2.400000095000000222e+00,4.289999899999999977e-01,4.100000100000000119e-02,4.100000100000000119e-02
3.420000076000000000e+00,2.059999999999999887e-01,2.700000099999999917e-02,2.700000099999999917e-02
4.440000056999999778e+00,1.089999970000000012e-01,1.899999900000000005e-02,1.899999900000000005e-02
5.449999809000000361e+00,6.499999800000000327e-02,1.400000000000000029e-02,1.400000000000000029e-02
7.159999846999999917e+00,3.200000199999999961e-02,5.999999999999999474e-04,5.999999999999999474e-04
1.109000014999999983e+01,8.200000000000000691e-03,2.200000000000000133e-03,2.200000000000000133e-03
1.894000052999999895e+01,1.199999999999999895e-03,5.000000000000000104e-04,5.000000000000000104e-04
3.452999877999999967e+01,1.399999999999999877e-04,1.399999999999999877e-04,1.399999999999999877e-04
