E,F,err_pos,err_neg
1.639999986000000076e+00,1.762459993000000003e+00,2.360000099999999892e-02,2.360000099999999892e-02
1.940000057000000000e+00,1.262400031000000089e+00,2.060000000000000026e-02,2.060000000000000026e-02
2.380000114000000000e+00,8.083000179999999535e-01,1.089999999999999997e-02,1.089999999999999997e-02
3.059999942999999778e+00,4.111000000000000210e-01,6.499999999999999702e-03,6.499999999999999702e-03
3.829999924000000000e+00,2.257000060000000086e-01,5.000000000000000104e-03,5.000000000000000104e-03
4.570000172000000305e+00,1.368000060000000018e-01,3.399999999999999811e-03,3.399999999999999811e-03
5.460000038000000444e+00,7.991000299999999334e-02,2.269999999999999882e-03,2.269999999999999882e-03
6.880000114000000444e+00,3.844000000000000195e-02,1.000000000000000021e-03,1.000000000000000021e-03
8.899999619000000806e+00,1.713999899999999951e-02,6.199999999999999999e-04,6.199999999999999999e-04
1.130000019000000044e+01,8.380000000000000296e-03,3.299999999999999982e-04,3.299999999999999982e-04
1.389999961999999911e+01,4.815999999999999968e-03,2.750000000000000166e-04,2.750000000000000166e-04
1.720000076000000178e+01,2.301999999999999793e-03,1.289999999999999914e-04,1.289999999999999914e-04
2.300000000000000000e+01,9.219999999999999680e-04,6.899999999999999667e-05,6.899999999999999667e-05
3.309999847000000273e+01,3.249999999999999851e-04,3.000000000000000076e-05,3.000000000000000076e-05
5.020000076000000178e+01,1.085999999999999970e-04,1.320000000000000067e-05,1.320000000000000067e-05
7.750000000000000000e+01,3.449999999999999833e-05,5.699999999999999636e-06,5.699999999999999636e-06
1.350000000000000000e+02,1.180000000000000052e-05,2.590000000000000190e-06,2.590000000000000190e-06
